source,target,type,weight
sb_brands,nextpage_agency,undirected,0.25307844274798086
sb_brands,jegorwalowski,undirected,0.23364779765749208
sb_brands,alexseagull,undirected,0.25307844274798086
sb_brands,lukaszdrozdz,undirected,0.8812585489978125
sb_brands,pellisco,undirected,0.45112492197439336
sb_brands,maxschewts,undirected,0.299481746035803
sb_brands,pixelsurplus,undirected,0.8766739112210151
sb_brands,kate-silva,undirected,0.29020760752299923
sb_brands,daryamalikova,undirected,0.2783080041424767
sb_brands,graphicassets,undirected,0.6065338997230684
sb_brands,anagrama,undirected,0.8993626933992754
sb_brands,kurbonzodski,undirected,0.9578100556937833
sb_brands,musawi,undirected,0.6526970553399111
sb_brands,microsoftdesign,undirected,0.31026632651669717
sb_brands,sawdust,undirected,0.37767246107075986
sb_brands,almefer,undirected,0.2922865396515008
sb_brands,anamiminoshvili,undirected,0.2829088493737721
sb_brands,abrate_emanuele,undirected,0.9437438448390232
sb_brands,sanjogkarulkar,undirected,0.24112409327664808
sb_brands,netguru,undirected,0.3282948745168726
sb_brands,avitko,undirected,0.7753910335649442
sb_brands,ntnay,undirected,0.729693915273781
sb_brands,drfranken,undirected,0.2289040785347543
sb_brands,cuberto,undirected,0.38981134566049724
sb_brands,morphine-mg,undirected,0.45262208665857956
sb_brands,markanetwork,undirected,0.6911093994817981
sb_brands,mustafa-akulker,undirected,0.7151284386104787
sb_brands,nx-design,undirected,0.5986396404707092
sb_brands,oh-ja,undirected,0.5947591864537164
sb_brands,lenalaballena,undirected,0.2517236332999484
sb_brands,patrykpolak,undirected,0.22298824387414992
sb_brands,vdas,undirected,0.24550197655459918
sb_brands,marinm,undirected,0.22494947991091643
sb_brands,skyrill,undirected,0.6301582717967068
sb_brands,angelalejandro,undirected,0.9346215787129829
nextpage_agency,sb_brands,undirected,0.25307844274798086
nextpage_agency,jegorwalowski,undirected,0.9970014925003392
nextpage_agency,alexseagull,undirected,0.9999999999999998
nextpage_agency,lukaszdrozdz,undirected,0.5400399326315289
nextpage_agency,pellisco,undirected,0.2746280892345779
nextpage_agency,maxschewts,undirected,0.9914676040870511
nextpage_agency,uprockpro,undirected,0.947736035409845
nextpage_agency,kate-silva,undirected,0.9879559870140519
nextpage_agency,anagrama,undirected,0.3324827275668256
nextpage_agency,alice_kau,undirected,0.9539147048889123
nextpage_agency,microsoftdesign,undirected,0.30343344622408575
nextpage_agency,k_pashukov,undirected,0.9260370291460208
nextpage_agency,netguru,undirected,0.903553219391562
nextpage_agency,cuberto,undirected,0.820763482746874
nextpage_agency,patrykpolak,undirected,0.9562244230600405
endalaust,pellisco,undirected,0.29409196422649625
endalaust,daryamalikova,undirected,0.640568646655057
endalaust,graphicassets,undirected,0.3730904295902041
endalaust,musawi,undirected,0.382584316340934
endalaust,sawdust,undirected,0.43452873930122543
endalaust,d_0307094527,undirected,0.35619711803250353
endalaust,anamiminoshvili,undirected,0.6647284122927655
endalaust,sanjogkarulkar,undirected,0.36298447690375496
endalaust,mz09,undirected,0.7451385684137222
endalaust,ntnay,undirected,0.42756587131016605
endalaust,drfranken,undirected,0.33884551163812965
endalaust,cuberto,undirected,0.21230869732165597
endalaust,morphine-mg,undirected,0.2869510617245607
endalaust,oh-ja,undirected,0.41569416160420153
endalaust,lenalaballena,undirected,0.6410416220943825
endalaust,thisset,undirected,0.24527588634675784
endalaust,the18thltrfotography,undirected,0.5116235835128634
jegorwalowski,sb_brands,undirected,0.23364779765749208
jegorwalowski,nextpage_agency,undirected,0.9970014925003392
jegorwalowski,alexseagull,undirected,0.9970014925003392
jegorwalowski,lukaszdrozdz,undirected,0.5324312054697824
jegorwalowski,pellisco,undirected,0.23553316484294093
jegorwalowski,maxschewts,undirected,0.9913222686899367
jegorwalowski,uprockpro,undirected,0.9505863757867168
jegorwalowski,kate-silva,undirected,0.9848665725549399
jegorwalowski,anagrama,undirected,0.3334826778774481
jegorwalowski,alice_kau,undirected,0.9567836277723402
jegorwalowski,microsoftdesign,undirected,0.2798019953940751
jegorwalowski,k_pashukov,undirected,0.9374757313417893
jegorwalowski,netguru,undirected,0.9102109861179344
jegorwalowski,cuberto,undirected,0.8186584390897739
jegorwalowski,patrykpolak,undirected,0.9591002924799684
alexseagull,sb_brands,undirected,0.25307844274798086
alexseagull,nextpage_agency,undirected,0.9999999999999998
alexseagull,jegorwalowski,undirected,0.9970014925003392
alexseagull,lukaszdrozdz,undirected,0.5400399326315289
alexseagull,pellisco,undirected,0.2746280892345779
alexseagull,maxschewts,undirected,0.9914676040870511
alexseagull,uprockpro,undirected,0.947736035409845
alexseagull,kate-silva,undirected,0.9879559870140519
alexseagull,anagrama,undirected,0.3324827275668256
alexseagull,alice_kau,undirected,0.9539147048889123
alexseagull,microsoftdesign,undirected,0.30343344622408575
alexseagull,k_pashukov,undirected,0.9260370291460208
alexseagull,netguru,undirected,0.903553219391562
alexseagull,cuberto,undirected,0.820763482746874
alexseagull,patrykpolak,undirected,0.9562244230600405
lukaszdrozdz,sb_brands,undirected,0.8812585489978125
lukaszdrozdz,nextpage_agency,undirected,0.5400399326315289
lukaszdrozdz,jegorwalowski,undirected,0.5324312054697824
lukaszdrozdz,alexseagull,undirected,0.5400399326315289
lukaszdrozdz,pellisco,undirected,0.2773731704365331
lukaszdrozdz,maxschewts,undirected,0.5655673737941542
lukaszdrozdz,uprockpro,undirected,0.4532667357667233
lukaszdrozdz,pixelsurplus,undirected,0.788187997896049
lukaszdrozdz,kate-silva,undirected,0.5604386690478043
lukaszdrozdz,daryamalikova,undirected,0.21488966028824447
lukaszdrozdz,graphicassets,undirected,0.35607981735081484
lukaszdrozdz,anagrama,undirected,0.775487317654863
lukaszdrozdz,kurbonzodski,undirected,0.7910318039776896
lukaszdrozdz,musawi,undirected,0.5353496307060158
lukaszdrozdz,alice_kau,undirected,0.4846548468769494
lukaszdrozdz,microsoftdesign,undirected,0.2507849312877596
lukaszdrozdz,sawdust,undirected,0.26726576039120126
lukaszdrozdz,anamiminoshvili,undirected,0.22434594667660768
lukaszdrozdz,abrate_emanuele,undirected,0.7054467678906805
lukaszdrozdz,k_pashukov,undirected,0.4686291280623819
lukaszdrozdz,netguru,undirected,0.5636553204184372
lukaszdrozdz,avitko,undirected,0.6624371675098496
lukaszdrozdz,ntnay,undirected,0.5900153243601937
lukaszdrozdz,cuberto,undirected,0.5560990528079439
lukaszdrozdz,morphine-mg,undirected,0.2630547564826129
lukaszdrozdz,markanetwork,undirected,0.5904982895902279
lukaszdrozdz,mustafa-akulker,undirected,0.6109964262665477
lukaszdrozdz,nx-design,undirected,0.5322613738518164
lukaszdrozdz,oh-ja,undirected,0.3885143449429057
lukaszdrozdz,patrykpolak,undirected,0.5154835307167938
lukaszdrozdz,marinm,undirected,0.22000733370002037
lukaszdrozdz,skyrill,undirected,0.5963382933631339
lukaszdrozdz,angelalejandro,undirected,0.6993258208972303
pellisco,sb_brands,undirected,0.45112492197439336
pellisco,nextpage_agency,undirected,0.2746280892345779
pellisco,endalaust,undirected,0.29409196422649625
pellisco,jegorwalowski,undirected,0.23553316484294093
pellisco,alexseagull,undirected,0.2746280892345779
